順位,貸出数,書誌情報,分類,ＩＳＢＮ
1,36,ミルクこぼしちゃだめよ!　スティーヴン・デイヴィーズ／文　ほるぷ出版　2013.7　25×29cm　[32p],E,4-593-50551-7
2,35,かいけつゾロリのじごくりょこう　　（ポプラ社の新・小さな童話 190 かいけつゾロリシリーズ）　原 ゆたか／さく・え　ポプラ社　2002.12　22cm　91p,913.6,4-591-07446-3
3,34,かいけつゾロリのてんごくとじごく　　（ポプラ社の新・小さな童話 186 かいけつゾロリシリーズ）　原 ゆたか／さく・え　ポプラ社　2002.7　22cm　94p,913.6,4-591-07308-4
3,34,ちきゅうがウンチだらけにならないわけ　松岡 たつひで／さく　福音館書店　2013.6　32cm　39p,E,4-8340-8008-7
5,33,100万回生きたねこ　　（創作絵本）　佐野 洋子／作・絵　講談社　1978　25×27cm　31p,E,
6,32,かいけつゾロリの大金もち　　（ポプラ社の新・小さな童話 163 かいけつゾロリシリーズ）　原 ゆたか／さく・え　ポプラ社　1998.7　22cm　94p,913.6,4-591-05743-7
7,31,かいけつゾロリのめいたんていとうじょう　　（ポプラ社の新・小さな童話 177 かいけつゾロリシリーズ）　原 ゆたか／さく・え　ポプラ社　2000.7　22cm　95p,913.6,4-591-06503-0
7,31,かいけつゾロリのようかい大リーグ　　（ポプラ社の新・小さな童話 198 かいけつゾロリシリーズ）　原 ゆたか／さく・え　ポプラ社　2003.7　22cm　92p,913.6,4-591-07774-8
7,31,まよなかのたんじょうかい　　（ひまわりえほんシリーズ）　西本 鶏介／作　鈴木出版　2013.12　27cm　1冊(ページ付なし),E,4-7902-5268-9
10,30,かいけつゾロリのテレビゲームききいっぱつ　　（ポプラ社の新・小さな童話 167 かいけつゾロリシリーズ）　原 ゆたか／さく・え　ポプラ社　1998.12　22cm　95p,913.6,4-591-05881-6
11,29,かいけつゾロリのきょうふのカーニバル　　（ポプラ社の新・小さな童話 181 かいけつゾロリシリーズ）　原 ゆたか／さく・え　ポプラ社　2001.7　22cm　94p,913.6,4-591-06891-9
12,28,かいけつゾロリあついぜ!ラーメンたいけつ　　（ポプラ社の新・小さな童話 184 かいけつゾロリシリーズ）　原 ゆたか／さく・え　ポプラ社　2001.12　22cm　91p,913.6,4-591-07045-X
13,27,かいけつゾロリけっこんする!?　　（ポプラ社の新・小さな童話 142 かいけつゾロリシリーズ）　原 ゆたか／さく・え　ポプラ社　1996.7　22cm　87p,913.6,4-591-05132-3
13,27,かいけつゾロリつかまる!!　　（ポプラ社の新・小さな童話 104 かいけつゾロリシリーズ）　原 ゆたか／さく・え　ポプラ社　1994.7　22cm　85p,913.6,4-591-04400-9
15,26,赤毛のアン　　（シリーズ赤毛のアン 1）　モンゴメリ／原作　ポプラ社　2009.3　18cm　343p,933,4-591-10791-1
15,26,かいけつゾロリとまほうのへや　　（ポプラ社の新・小さな童話 206 かいけつゾロリシリーズ）　原 ゆたか／さく・え　ポプラ社　2004.7　22cm　94p,913.6,4-591-08191-5
15,26,ふたり　福田 隆浩／著　講談社　2013.9　20cm　217p,913.6,4-06-218529-5
18,25,かいけつゾロリたべられる!!　　（ポプラ社の新・小さな童話 211 かいけつゾロリシリーズ）　原 ゆたか／さく・え　ポプラ社　2004.12　22cm　93p,913.6,4-591-08365-9
18,25,ただいま!マラング村　ハンナ・ショット／作　徳間書店　2013.9　22cm　148p,943,4-19-863678-4
18,25,どんどこももんちゃん　　（ももんちゃんあそぼう）　とよた かずひこ／さく・え　童心社　2001.9　21cm　1冊,E,4-494-00136-8
21,24,おおきくなるっていうことは　　（ピーマン村の絵本たち）　中川 ひろたか／文　童心社　1999.1　21×23cm　1冊,E,4-494-00585-1
21,24,かいけつゾロリとなぞのまほう少女　　（ポプラ社の新・小さな童話 201 かいけつゾロリシリーズ）　原 ゆたか／さく・え　ポプラ社　2003.11　22cm　92p,913.6,4-591-07928-7
21,24,かいけつゾロリのなぞなぞ大さくせん　　（ポプラ社の新・小さな童話 86 かいけつゾロリシリーズ）　原 ゆたか／さく・え　ポプラ社　1993.6　22cm　91p,913.6,4-591-03086-5
21,24,かいけつゾロリのメカメカ大さくせん　　（[ポプラ社の新・小さな童話] [272] かいけつゾロリシリーズ 51）　原 ゆたか／さく・え　ポプラ社　2012.7　22cm　103p,913.6,4-591-12996-8
21,24,かいけつゾロリやせるぜ!ダイエット大さくせん　　（ポプラ社の新・小さな童話 233 かいけつゾロリシリーズ）　原 ゆたか／さく・え　ポプラ社　2007.12　22cm　102p,913.6,4-591-10014-1
26,23,だるまさんと　　（かがくいひろしのファーストブック 3）　かがくい ひろし／さく　ブロンズ新社　2009.1　19cm　1冊(ページ付なし),E,4-89309-452-0
26,23,どこかいきのバス　　（わくわくえどうわ）　井上 よう子／作　文研出版　2013.8　22cm　70p,913.6,4-580-82190-3
26,23,ルルとララのわくわくクレープ　　（おはなしトントン 21 Maple Street [「ルルとララ」シリーズ] [12]）　あんびる やすこ／作・絵　岩崎書店　2010.12　22cm　71p,913.6,4-265-06286-7
29,22,かいけつゾロリきょうふのようかいえんそく　　（[ポプラ社の新・小さな童話] [247] かいけつゾロリシリーズ 46）　原 ゆたか／さく・え　ポプラ社　2009.12　22cm　111p,913.6,4-591-11273-1
29,22,かいけつゾロリぜったいぜつめい　　（ポプラ社の新・小さな童話 179 かいけつゾロリシリーズ）　原 ゆたか／さく・え　ポプラ社　2000.12　22cm　95p,913.6,4-591-06641-X
29,22,かいけつゾロリの大どろぼう　　（ポプラ社の新・小さな童話 215 かいけつゾロリシリーズ）　原 ゆたか／さく・え　ポプラ社　2005.7　22cm　91p,913.6,4-591-08734-4
29,22,かいけつゾロリのきょうふの大ジャンプ　　（ポプラ社の新・小さな童話 158 かいけつゾロリシリーズ）　原 ゆたか／さく・え　ポプラ社　1997.12　22cm　94p,913.6,4-591-05521-3
29,22,かいけつゾロリの大かいじゅう　　（ポプラ社の新・小さな童話 58 かいけつゾロリシリーズ）　原 ゆたか／さく・え　ポプラ社　1992.1　22cm　85p,913.6,4-591-03058-X
29,22,かいけつゾロリのだ・だ・だ・だいぼうけん!　前編　　（[ポプラ社の新・小さな童話] [252] かいけつゾロリシリーズ 47）　原 ゆたか／さく・え　ポプラ社　2010.7　22cm　103p,913.6,4-591-11951-8
