順位,貸出数,書誌情報,分類,ＩＳＢＮ
1,109,かいけつゾロリとなぞのひこうき　　（ポプラ社の新・小さな童話 106 かいけつゾロリシリーズ）　原 ゆたか／さく・え　ポプラ社　1994.11　22cm　84p,913.6,4-591-04623-0
2,91,かいけつゾロリのてんごくとじごく　　（ポプラ社の新・小さな童話 186 かいけつゾロリシリーズ）　原 ゆたか／さく・え　ポプラ社　2002.7　22cm　94p,913.6,4-591-07308-4
3,90,かいけつゾロリのなぞなぞ大さくせん　　（ポプラ社の新・小さな童話 86 かいけつゾロリシリーズ）　原 ゆたか／さく・え　ポプラ社　1993.6　22cm　91p,913.6,4-591-03086-5
4,87,かいけつゾロリのまほうつかいのでし　　（ポプラ社の新・小さな童話 5）　原 ゆたか／さく・え　ポプラ社　1988.11　22cm　85p,913.6,4-591-03005-9
5,86,かいけつゾロリのテレビゲームききいっぱつ　　（ポプラ社の新・小さな童話 167 かいけつゾロリシリーズ）　原 ゆたか／さく・え　ポプラ社　1998.12　22cm　95p,913.6,4-591-05881-6
6,82,かいけつゾロリあついぜ!ラーメンたいけつ　　（ポプラ社の新・小さな童話 184 かいけつゾロリシリーズ）　原 ゆたか／さく・え　ポプラ社　2001.12　22cm　91p,913.6,4-591-07045-X
7,79,かいけつゾロリのきょうふのやかた　　（ポプラ社の新・小さな童話 1）　原 ゆたか／さく・え　ポプラ社　1988.5　22cm　85p,913.6,4-591-03001-6
8,78,かいけつゾロリのじごくりょこう　　（ポプラ社の新・小さな童話 190 かいけつゾロリシリーズ）　原 ゆたか／さく・え　ポプラ社　2002.12　22cm　91p,913.6,4-591-07446-3
9,75,かいけつゾロリたべられる!!　　（ポプラ社の新・小さな童話 211 かいけつゾロリシリーズ）　原 ゆたか／さく・え　ポプラ社　2004.12　22cm　93p,913.6,4-591-08365-9
9,75,かいけつゾロリつかまる!!　　（ポプラ社の新・小さな童話 104 かいけつゾロリシリーズ）　原 ゆたか／さく・え　ポプラ社　1994.7　22cm　85p,913.6,4-591-04400-9
11,74,かいけつゾロリのなぞのおたから大さくせん　前編　　（ポプラ社の新・小さな童話 219 かいけつゾロリシリーズ）　原 ゆたか／さく・え　ポプラ社　2005.12　22cm　85p,913.6,4-591-08975-4
12,73,もこもこもこ　　（ぽっぽライブラリ みるみる絵本）　谷川 俊太郎／作　文研出版　1977.4　29cm　29p,E,4-580-81140-2
